Date,Open,High,Low,Close,Shares_Traded,Turnover_Rs_Cr
09-07-2018,11558.25,11603,11484.4,11589.1,305029077,16441.02
09-10-2018,11570.25,11573,11427.3,11438.1,295597988,16513.89
09-11-2018,11476.85,11479.4,11274,11287.5,318093125,18745.54
09-12-2018,11340.1,11380.75,11250.2,11369.9,276509748,15567.9
9/14/2018,11443.5,11523.25,11430.55,11515.2,285218296,16423.36
9/17/2018,11464.95,11464.95,11366.9,11377.75,207620518,11294.84
9/18/2018,11381.55,11411.45,11268.95,11278.9,248298794,13814.11
9/19/2018,11326.65,11332.05,11210.9,11234.35,258424384,15116.69
9/21/2018,11271.3,11346.8,10866.45,11143.1,741153209,35131.19
9/24/2018,11164.4,11170.15,10943.6,,398815949,23023.34
9/25/2018,10969.95,11080.6,10882.85,11067.45,417548830,22878.57
9/26/2018,11145.55,11145.55,10993.05,11053.8,351041146,17803.68
9/27/2018,11079.8,11089.45,10953.35,10977.55,418210067,22582.86
9/28/2018,11008.1,11034.1,10850.3,10930.45,492894147,23227.86
10-01-2018,10930.9,11035.65,10821.55,11008.3,398987274,20391.72
10-03-2018,10982.7,10989.05,10843.75,10858.25,398756507,21225.59
10-04-2018,10754.7,10754.7,,10599.25,438202008,23711.57
10-05-2018,10514.1,10540.65,10261.9,10316.45,625153832,25254.21
10-08-2018,10310.15,10398.35,10198.4,10348.05,470279031,22130.94
10-09-2018,10390.3,10397.6,10279.35,10301.05,443795275,18285.41
10-10-2018,10331.85,10482.35,10318.25,10460.1,373844130,19592.59
10-11-2018,10169.8,10335.95,10138.6,10234.65,498509417,21907.13
10-12-2018,10331.55,10492.45,10322.15,10472.5,354056762,18606.04
10/15/2018,10524.2,10526.3,10410.15,10512.5,267517728,14372.15
10/16/2018,10550.15,10604.9,10525.3,10584.75,273444095,15453.03
10/17/2018,10688.7,10710.15,10436.45,10453.05,293586908,17173.14
10/19/2018,10339.7,10380.1,10249.6,10303.55,368552204,20505.66
10/22/2018,10405.85,,10224,10245.25,306472776,17241.94
10/23/2018,10152.6,10222.1,10102.35,10146.8,312042090,18114.71
10/24/2018,10278.15,10290.65,10126.7,10224.75,362272428,19413.24
10/25/2018,10135.05,10166.6,10079.3,10124.9,522421914,23503.76
10/26/2018,10122.35,10128.85,10004.55,10030,375563273,16120.14
10/29/2018,10078.1,10275.3,10020.35,10250.85,375749433,17514.85
10/30/2018,10239.4,10285.1,10175.35,10198.4,298753965,14789.51
10/31/2018,10209.55,10396,10105.1,10386.6,386618948,21513.85
11-01-2018,10441.7,10441.9,10341.9,10380.45,359340403,18111.88
11-02-2018,10462.3,10606.95,10457.7,10553,434175607,21758.8
11-05-2018,10558.75,10558.8,10477,10524,311176379,14761.17
11-06-2018,,10600.25,10491.45,10530,309878810,14006.19
11-07-2018,10614.45,10616.45,10582.3,10598.4,32194181,1534.08
11-09-2018,10614.7,10619.55,10544.85,10585.2,305817331,15294.83
11-12-2018,10607.8,10645.5,10464.05,10482.2,267710127,13445.33
11/13/2018,10451.9,10596.25,10440.55,10582.5,262541595,13078.98
11/14/2018,10634.9,10651.6,10532.7,10576.3,396373781,19374.89
11/15/2018,10580.6,10646.5,10557.5,10616.7,306011926,14937.67
11/16/2018,10644,10695.15,10631.15,10682.2,353384918,16728.88
11/19/2018,10731.25,10774.7,10688.8,10763.4,280522364,13540.9
11/20/2018,10740.1,10740.85,10640.85,10656.2,304322623,13077.24
11/21/2018,10670.95,10671.3,10562.35,10600.05,310191008,15382.32
11/22/2018,10612.65,10646.25,10512,10526.75,,12254.36
11/26/2018,10568.3,10637.8,10489.75,10628.6,332863041,15927.25
11/27/2018,10621.45,10695.15,10596.35,10685.6,382834178,17296.28
11/28/2018,10708.75,10757.8,10699.85,10728.85,437627174,17737.28
11/29/2018,10808.7,10883.05,10782.35,10858.7,712650890,26283.43
11/30/2018,10892.1,10922.45,10835.1,10876.75,467857329,19964.33
12-03-2018,10930.7,10941.2,10845.35,10883.75,422358631,18484.91
12-04-2018,10877.1,10890.95,10833.35,10869.5,332137359,15857.16
12-05-2018,10820.45,10821.05,10747.95,10782.9,322019985,15176.26
12-06-2018,10718.15,10722.65,10588.25,10601.15,328275196,16488.87
12-07-2018,10644.8,10704.55,10599.35,10693.7,335849636,18597.83
12-10-2018,10708.75,10757.8,10699.85,10728.85,437627174,17737.28
12-11-2018,10350.05,10567.15,10333.85,10549.15,438699334,20112.91
12-12-2018,10591,10752.2,10560.8,10737.6,371697496,17447.45
12/13/2018,10810.75,10838.6,10749.5,10791.55,387810061,17582.8
12/14/2018,10784.5,10815.75,10752.1,10805.45,350579275,14486.1
12/17/2018,10853.2,10900.35,10844.85,10888.35,306145514,12528.59
12/18/2018,10850.9,10915.4,10819.1,10908.7,294942271,13556.45
12/19/2018,10930.55,10985.15,10928,10967.3,321801803,17172.64
12/20/2018,10885.2,10962.55,10880.05,10951.7,328802751,14945.94
12/21/2018,10944.25,10963.65,10738.65,10754,389235107,18663.85
12/24/2018,10780.9,10782.3,10649.25,10663.5,230291344,10695.6
12/26/2018,10635.45,10747.5,10534.55,10729.85,271942701,12831.99
12/27/2018,10817.9,10834.2,10764.45,10779.8,470160392,19119.88
12/28/2018,10820.95,10893.6,10817.15,10859.9,253086507,12615.01
12/31/2018,10913.2,10923.55,10853.2,10862.55,186494657,10176.13
01-01-2019,10881.7,10923.6,10807.1,10910.1,159404542,8688.26
01-02-2019,10868.85,10895.35,10735.05,10792.5,309665939,15352.25
01-03-2019,10796.8,10814.05,10661.25,10672.25,286241745,15030.45
01-04-2019,10699.7,10741.05,10628.65,10727.35,296596655,14516.74
01-07-2019,10804.85,10835.95,10750.15,10771.8,269371080,12731.29
01-08-2019,10786.25,10818.45,10733.25,10802.15,277697672,13433.48
01-09-2019,10708.75,10757.8,10699.85,10728.85,437627174,17737.28
01-10-2019,10859.35,10859.35,10801.8,10821.6,254365477,12031.26
01-11-2019,10834.75,10850.15,10739.4,10794.95,260792200,13084.6
1/14/2019,10807,10808,10692.35,10737.6,298774178,12732.57
1/15/2019,10777.55,10896.95,10777.55,10886.8,310737078,14879.91
1/16/2019,10899.65,10928.15,10876.9,10890.3,276539042,13081.63
1/17/2019,10920.85,10930.65,10844.65,10905.2,271676319,13215.83
1/18/2019,10914.85,10928.2,10852.2,10906.95,323814108,16408.83
1/21/2019,10919.35,10987.45,10885.75,10961.85,288829125,17289.7
1/22/2019,10949.8,10949.8,10864.15,10922.75,300768112,17483.62
1/23/2019,10931.05,10944.8,10811.95,10831.5,298876314,14736.91
1/24/2019,10844.05,10866.6,10798.65,10849.8,361082096,15298.48
1/25/2019,10859.75,10931.7,10756.45,10780.55,463444758,20542.36
1/28/2019,10792.45,10804.45,10630.95,10661.55,419682627,21144.33
1/29/2019,10653.7,10690.35,10583.65,10652.2,356908994,18832.06
1/30/2019,10702.25,10710.2,10612.85,10651.8,410107910,21214.81
1/31/2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
02-01-2019,10851.35,10983.45,10813.45,10893.65,482272661,23112.37
02-04-2019,10876.75,10927.9,10814.15,10912.25,318300039,15478.81
02-05-2019,10908.65,10956.7,10886.7,10934.35,268095127,13435.13
02-06-2019,10965.1,11072.6,10962.7,11062.45,298510497,15172.85
02-07-2019,11070.45,11118.1,11043.6,11069.4,263544426,13542.69
02-08-2019,11023.5,11041.2,10925.45,10943.6,352787419,15507.05
02-11-2019,10708.75,10757.8,10699.85,10728.85,437627174,17737.28
02-12-2019,10879.7,10910.9,10823.8,10831.4,292314643,14424.78
2/13/2019,10870.55,10891.65,10772.1,10793.65,321958549,15360.98
2/14/2019,10786.1,10792.7,10718.75,10746.05,627041405,20797.41
2/15/2019,10780.25,10785.75,10620.4,10724.4,521876968,20733.95
2/18/2019,10738.65,10759.9,10628.4,10640.95,345440240,14903.19
2/19/2019,10636.7,10722.85,10585.65,10604.35,291507060,13765.01
2/20/2019,10655.45,10752.7,10646.4,10735.45,289195306,13209.71
2/21/2019,10744.1,10808.85,10721.5,10789.85,279584955,14758.5
2/22/2019,10782.7,10801.55,10758.4,10791.65,396846597,24386.42
2/25/2019,10813.25,10887.1,10788.05,10880.1,385905142,16466.09
2/26/2019,10775.3,10888.75,10729.3,10835.3,414954476,19186.75
2/27/2019,10881.2,10939.7,10751.2,10806.65,381080073,18313.85
2/28/2019,10865.7,10865.7,10784.85,10792.5,644159018,27123.34
03-01-2019,10842.65,10877.9,10823.1,10863.5,308526309,15010.06
03-05-2019,10864.85,10994.9,10817,10987.45,373220239,17960.03
03-06-2019,11024.85,11062.3,10998.85,11053,372550850,17850.93
03-07-2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
03-08-2019,11038.85,11049,11008.95,11035.4,326569833,14369.77
03-11-2019,11068.75,11180.9,11059.85,11168.05,352242287,17349.95
03-12-2019,11231.35,11320.4,11227,11301.2,391310519,20861.35
3/13/2019,11326.2,11352.3,11276.6,11341.7,382996187,20851.67
3/14/2019,11382.5,11383.45,11313.75,11343.25,294480678,15661.05
3/15/2019,11376.85,11487,11370.8,11426.85,463704896,25143.26
3/18/2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
3/19/2019,11500.3,11543.85,11451.25,11532.4,326099667,16179.92
3/20/2019,11553.35,11556.1,11503.1,11521.05,366298049,18311.44
3/22/2019,11549.2,11572.8,11434.55,11456.9,386193935,19755.74
3/25/2019,11395.65,11395.65,11311.6,11354.25,294459196,14101.14
3/26/2019,11375.2,11496.75,11352.45,11483.25,282575496,14611.68
3/27/2019,11531.45,11546.2,11413,11445.05,350446089,18356.52
3/28/2019,11463.65,11588.5,11452.45,11570,527678809,25719.65
3/29/2019,11625.45,11630.35,11570.15,11623.9,416276981,20515.25
04-01-2019,11665.2,11738.1,11644.75,11669.15,379572660,18977.99
04-02-2019,11711.55,11729.35,11655.85,11713.2,386131413,18673.7
04-03-2019,11735.3,11761,11629.15,11643.95,365760070,19050.95
04-04-2019,11660.2,11662.55,11559.2,11598,349029830,19713.01
04-05-2019,11638.4,11689.65,11609.5,11665.95,266665797,15000.35
04-08-2019,11704.35,11710.3,11549.1,11604.5,260932608,14203.96
04-09-2019,11612.05,11683.9,11569.7,11671.95,300467538,15984.39
04-10-2019,11646.85,11680.05,11571.75,11584.3,359941110,22258.46
04-11-2019,11592.55,11606.7,11550.55,11596.7,279775726,14332.2
04-12-2019,11612.85,11657.35,11578.8,11643.45,246006184,13598.61
4/15/2019,11667,11704.6,11648.25,11690.35,289996075,15635.79
4/16/2019,11736.2,11810.95,11731.55,11787.15,354315040,17585.48
4/18/2019,11856.15,11856.15,11738.5,11752.8,339653709,18271.27
4/22/2019,11727.05,11727.05,11583.95,11594.45,260356055,13754.12
4/23/2019,11612.95,11645.95,11564.8,11575.95,272544486,14500.53
4/24/2019,11601.5,11740.85,11578.85,11726.15,335196513,17046.66
4/25/2019,11735.7,11796.75,11624.3,11641.8,604360395,28254.3
4/26/2019,11683.75,11762.9,11661.75,11754.65,333483764,18098.83
4/30/2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
05-02-2019,11725.55,11789.3,11699.55,11724.75,380278045,17790.06
05-03-2019,11722.6,11770.9,11699.35,11712.25,305519934,15156.32
05-06-2019,11605.8,11632.55,11571.35,11598.25,299046480,14703.42
05-07-2019,11651.5,11657.05,11484.45,11497.9,337495624,16632.84
05-08-2019,11478.7,11479.1,11346.95,11359.45,372826025,17440.01
05-09-2019,11322.4,11357.6,11255.05,11301.8,373028059,17602.86
05-10-2019,11314.15,11345.8,11251.05,11278.9,387323416,18085.19
5/13/2019,11258.7,11300.2,11125.6,11148.2,357586433,16722.91
5/14/2019,11151.65,11294.75,11108.3,11222.05,398122725,19906.38
5/15/2019,11271.7,11286.8,11136.95,11157,414174258,17931.75
5/16/2019,11180.35,11281.55,11143.35,11257.1,350734572,15629.57
5/17/2019,11261.9,11426.15,11259.85,11407.15,412109200,20177.63
5/20/2019,11651.9,11845.2,11591.7,11828.25,452096261,25223.78
5/21/2019,11863.65,11883.55,11682.8,11709.1,381038129,20324.67
5/22/2019,11727.95,11784.8,11682.4,11737.9,355870667,19582.41
5/23/2019,11901.3,12041.15,11614.5,11657.05,569030654,31180.08
5/24/2019,11748,11859,11658.1,11844.1,374637415,20028.49
5/27/2019,11855.5,11957.15,11812.4,11924.75,348356214,17735.36
5/28/2019,11958.35,11958.55,11864.9,11928.75,598308334,28833.54
5/29/2019,11905.8,11931.9,11836.8,11861.1,318068673,15985.92
5/30/2019,11865.3,11968.55,11859.4,11945.9,421199867,20261.85
5/31/2019,11999.8,12039.25,11829.45,11922.8,438879129,22789
06-03-2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
06-04-2019,12052.65,12095.2,12005.85,12021.65,289221904,15308.28
06-06-2019,12039.8,12039.8,11830.25,11843.75,415206942,21144.77
